Date,Store,Retailer,SKU,Units_Sold
01-01-2024,Mumbai Store - North,Big Bazaar,Cold-Pressed Virgin Olive Oil 500ml,29
01-01-2024,Mumbai Store - North,Big Bazaar,Cold-Pressed Virgin Olive Oil 1L,15
01-01-2024,Thane Store - West,Big Bazaar,Heritage Grains Muesli 500g,60
01-01-2024,Thane Store - West,Big Bazaar,Heritage Grains Muesli 1kg,50
01-01-2024,Thane Store - West,Big Bazaar,ProGut Yogurt 100g,87
01-01-2024,Thane Store - West,Big Bazaar,ProGut Yogurt 250g,70
01-01-2024,Thane Store - West,Big Bazaar,Artisanal Bakery Toast 200g,79
01-01-2024,Thane Store - West,Big Bazaar,Artisanal Bakery Toast 400g,70
01-01-2024,Thane Store - West,Big Bazaar,NutriBlend Peanut Butter 250g,47
01-01-2024,Thane Store - West,Big Bazaar,NutriBlend Peanut Butter 500g,30
01-01-2024,Thane Store - West,Big Bazaar,NutriBlend Peanut Butter 1kg,30
01-01-2024,Thane Store - West,Big Bazaar,Cold-Pressed Virgin Olive Oil 500ml,28
01-01-2024,Thane Store - West,Big Bazaar,Cold-Pressed Virgin Olive Oil 1L,15
01-01-2024,Thane Store - West,DMart,Heritage Grains Muesli 500g,70
01-01-2024,Thane Store - West,DMart,Heritage Grains Muesli 1kg,50
01-01-2024,Thane Store - West,DMart,ProGut Yogurt 100g,118
01-01-2024,Thane Store - West,DMart,ProGut Yogurt 250g,70
01-01-2024,Thane Store - West,DMart,Artisanal Bakery Toast 200g,111
01-01-2024,Thane Store - West,DMart,Artisanal Bakery Toast 400g,70
01-01-2024,Thane Store - West,DMart,NutriBlend Peanut Butter 250g,55
01-01-2024,Thane Store - West,DMart,NutriBlend Peanut Butter 500g,30
01-01-2024,Thane Store - West,DMart,NutriBlend Peanut Butter 1kg,30
01-01-2024,Thane Store - West,DMart,Cold-Pressed Virgin Olive Oil 500ml,43
01-01-2024,Thane Store - West,DMart,Cold-Pressed Virgin Olive Oil 1L,19
01-01-2024,Navi Mumbai Store - Vashi,DMart,Heritage Grains Muesli 500g,65
01-01-2024,Navi Mumbai Store - Vashi,DMart,Heritage Grains Muesli 1kg,50
01-01-2024,Navi Mumbai Store - Vashi,DMart,ProGut Yogurt 100g,91
01-01-2024,Navi Mumbai Store - Vashi,DMart,ProGut Yogurt 250g,70
01-01-2024,Navi Mumbai Store - Vashi,DMart,Artisanal Bakery Toast 200g,99
01-01-2024,Navi Mumbai Store - Vashi,DMart,Artisanal Bakery Toast 400g,70
01-01-2024,Navi Mumbai Store - Vashi,DMart,NutriBlend Peanut Butter 250g,52
01-01-2024,Navi Mumbai Store - Vashi,DMart,NutriBlend Peanut Butter 500g,30
01-01-2024,Navi Mumbai Store - Vashi,DMart,NutriBlend Peanut Butter 1kg,30
01-01-2024,Navi Mumbai Store - Vashi,DMart,Cold-Pressed Virgin Olive Oil 500ml,34
01-01-2024,Navi Mumbai Store - Vashi,DMart,Cold-Pressed Virgin Olive Oil 1L,19
01-01-2024,Navi Mumbai Store - Vashi,Big Bazaar,Heritage Grains Muesli 500g,60
01-01-2024,Navi Mumbai Store - Vashi,Big Bazaar,Heritage Grains Muesli 1kg,50
01-01-2024,Navi Mumbai Store - Vashi,Big Bazaar,ProGut Yogurt 100g,71
01-01-2024,Navi Mumbai Store - Vashi,Big Bazaar,ProGut Yogurt 250g,70
01-01-2024,Navi Mumbai Store - Vashi,Big Bazaar,Artisanal Bakery Toast 200g,70
01-01-2024,Navi Mumbai Store - Vashi,Big Bazaar,Artisanal Bakery Toast 400g,70
01-01-2024,Navi Mumbai Store - Vashi,Big Bazaar,NutriBlend Peanut Butter 250g,42
01-01-2024,Navi Mumbai Store - Vashi,Big Bazaar,NutriBlend Peanut Butter 500g,30
01-01-2024,Navi Mumbai Store - Vashi,Big Bazaar,NutriBlend Peanut Butter 1kg,30
01-01-2024,Navi Mumbai Store - Vashi,Big Bazaar,Cold-Pressed Virgin Olive Oil 500ml,24
01-01-2024,Navi Mumbai Store - Vashi,Big Bazaar,Cold-Pressed Virgin Olive Oil 1L,15
01-01-2024,Kalyan Store,DMart,Heritage Grains Muesli 500g,81
01-01-2024,Kalyan Store,DMart,Heritage Grains Muesli 1kg,50
01-01-2024,Kalyan Store,DMart,ProGut Yogurt 100g,102
01-01-2024,Kalyan Store,DMart,ProGut Yogurt 250g,70
01-01-2024,Kalyan Store,DMart,Artisanal Bakery Toast 200g,101
01-01-2024,Kalyan Store,DMart,Artisanal Bakery Toast 400g,70
01-01-2024,Kalyan Store,DMart,NutriBlend Peanut Butter 250g,54
01-01-2024,Kalyan Store,DMart,NutriBlend Peanut Butter 500g,31
01-01-2024,Kalyan Store,DMart,NutriBlend Peanut Butter 1kg,30
01-01-2024,Kalyan Store,DMart,Cold-Pressed Virgin Olive Oil 500ml,34
01-01-2024,Kalyan Store,DMart,Cold-Pressed Virgin Olive Oil 1L,18
01-01-2024,Kalyan Store,Big Bazaar,Heritage Grains Muesli 500g,53
01-01-2024,Kalyan Store,Big Bazaar,Heritage Grains Muesli 1kg,50
01-01-2024,Kalyan Store,Big Bazaar,ProGut Yogurt 100g,76
01-01-2024,Kalyan Store,Big Bazaar,ProGut Yogurt 250g,70
01-01-2024,Kalyan Store,Big Bazaar,Artisanal Bakery Toast 200g,70
01-01-2024,Kalyan Store,Big Bazaar,Artisanal Bakery Toast 400g,70
01-01-2024,Kalyan Store,Big Bazaar,NutriBlend Peanut Butter 250g,39
01-01-2024,Kalyan Store,Big Bazaar,NutriBlend Peanut Butter 500g,30
01-01-2024,Kalyan Store,Big Bazaar,NutriBlend Peanut Butter 1kg,30
01-01-2024,Kalyan Store,Big Bazaar,Cold-Pressed Virgin Olive Oil 500ml,29
01-01-2024,Kalyan Store,Big Bazaar,Cold-Pressed Virgin Olive Oil 1L,15
01-01-2024,Bhiwandi Store,Big Bazaar,Heritage Grains Muesli 500g,50
01-01-2024,Bhiwandi Store,Big Bazaar,Heritage Grains Muesli 1kg,50
01-01-2024,Bhiwandi Store,Big Bazaar,ProGut Yogurt 100g,74
01-01-2024,Bhiwandi Store,Big Bazaar,ProGut Yogurt 250g,70
01-01-2024,Bhiwandi Store,Big Bazaar,Artisanal Bakery Toast 200g,70
01-01-2024,Bhiwandi Store,Big Bazaar,Artisanal Bakery Toast 400g,70
01-01-2024,Bhiwandi Store,Big Bazaar,NutriBlend Peanut Butter 250g,39
01-01-2024,Bhiwandi Store,Big Bazaar,NutriBlend Peanut Butter 500g,30
01-01-2024,Bhiwandi Store,Big Bazaar,NutriBlend Peanut Butter 1kg,30
01-01-2024,Bhiwandi Store,Big Bazaar,Cold-Pressed Virgin Olive Oil 500ml,28
01-01-2024,Bhiwandi Store,Big Bazaar,Cold-Pressed Virgin Olive Oil 1L,15
01-01-2024,Bhiwandi Store,Reliance Smart,Heritage Grains Muesli 500g,60
01-01-2024,Bhiwandi Store,Reliance Smart,Heritage Grains Muesli 1kg,50
01-01-2024,Bhiwandi Store,Reliance Smart,ProGut Yogurt 100g,75
01-01-2024,Bhiwandi Store,Reliance Smart,ProGut Yogurt 250g,70
01-01-2024,Bhiwandi Store,Reliance Smart,Artisanal Bakery Toast 200g,71
01-01-2024,Bhiwandi Store,Reliance Smart,Artisanal Bakery Toast 400g,70
01-01-2024,Bhiwandi Store,Reliance Smart,NutriBlend Peanut Butter 250g,47
01-01-2024,Bhiwandi Store,Reliance Smart,NutriBlend Peanut Butter 500g,30
01-01-2024,Bhiwandi Store,Reliance Smart,NutriBlend Peanut Butter 1kg,30
01-01-2024,Bhiwandi Store,Reliance Smart,Cold-Pressed Virgin Olive Oil 500ml,31
01-01-2024,Bhiwandi Store,Reliance Smart,Cold-Pressed Virgin Olive Oil 1L,15
01-01-2024,Pune Store - Central,Big Bazaar,Heritage Grains Muesli 500g,54
01-01-2024,Pune Store - Central,Big Bazaar,Heritage Grains Muesli 1kg,50
01-01-2024,Pune Store - Central,Big Bazaar,ProGut Yogurt 100g,70
01-01-2024,Pune Store - Central,Big Bazaar,ProGut Yogurt 250g,70
01-01-2024,Pune Store - Central,Big Bazaar,Artisanal Bakery Toast 200g,70
01-01-2024,Pune Store - Central,Big Bazaar,Artisanal Bakery Toast 400g,70
01-01-2024,Pune Store - Central,Big Bazaar,NutriBlend Peanut Butter 250g,32
01-01-2024,Pune Store - Central,Big Bazaar,NutriBlend Peanut Butter 500g,30
01-01-2024,Pune Store - Central,Big Bazaar,NutriBlend Peanut Butter 1kg,30
01-01-2024,Pune Store - Central,Big Bazaar,Cold-Pressed Virgin Olive Oil 500ml,22
01-01-2024,Pune Store - Central,Big Bazaar,Cold-Pressed Virgin Olive Oil 1L,15
01-01-2024,Pune Store - Central,Reliance Smart,Heritage Grains Muesli 500g,62
01-01-2024,Pune Store - Central,Reliance Smart,Heritage Grains Muesli 1kg,50
01-01-2024,Pune Store - Central,Reliance Smart,ProGut Yogurt 100g,82
01-01-2024,Pune Store - Central,Reliance Smart,ProGut Yogurt 250g,70
01-01-2024,Pune Store - Central,Reliance Smart,Artisanal Bakery Toast 200g,70
01-01-2024,Pune Store - Central,Reliance Smart,Artisanal Bakery Toast 400g,70
01-01-2024,Pune Store - Central,Reliance Smart,NutriBlend Peanut Butter 250g,42
01-01-2024,Pune Store - Central,Reliance Smart,NutriBlend Peanut Butter 500g,30
01-01-2024,Pune Store - Central,Reliance Smart,NutriBlend Peanut Butter 1kg,30
01-01-2024,Pune Store - Central,Reliance Smart,Cold-Pressed Virgin Olive Oil 500ml,27
01-01-2024,Pune Store - Central,Reliance Smart,Cold-Pressed Virgin Olive Oil 1L,15
01-01-2024,Pune Store - West,DMart,Heritage Grains Muesli 500g,66
01-01-2024,Pune Store - West,DMart,Heritage Grains Muesli 1kg,50
01-01-2024,Pune Store - West,DMart,ProGut Yogurt 100g,71
01-01-2024,Pune Store - West,DMart,ProGut Yogurt 250g,70
01-01-2024,Pune Store - West,DMart,Artisanal Bakery Toast 200g,83
01-01-2024,Pune Store - West,DMart,Artisanal Bakery Toast 400g,70
01-01-2024,Pune Store - West,DMart,NutriBlend Peanut Butter 250g,39
01-01-2024,Pune Store - West,DMart,NutriBlend Peanut Butter 500g,30
01-01-2024,Pune Store - West,DMart,NutriBlend Peanut Butter 1kg,30
01-01-2024,Pune Store - West,DMart,Cold-Pressed Virgin Olive Oil 500ml,32
01-01-2024,Pune Store - West,DMart,Cold-Pressed Virgin Olive Oil 1L,15
01-01-2024,Pimpri Store,DMart,Heritage Grains Muesli 500g,52
01-01-2024,Pimpri Store,DMart,Heritage Grains Muesli 1kg,50
01-01-2024,Pimpri Store,DMart,ProGut Yogurt 100g,70
01-01-2024,Pimpri Store,DMart,ProGut Yogurt 250g,70
01-01-2024,Pimpri Store,DMart,Artisanal Bakery Toast 200g,70
01-01-2024,Pimpri Store,DMart,Artisanal Bakery Toast 400g,70
01-01-2024,Pimpri Store,DMart,NutriBlend Peanut Butter 250g,35
01-01-2024,Pimpri Store,DMart,NutriBlend Peanut Butter 500g,30
01-01-2024,Pimpri Store,DMart,NutriBlend Peanut Butter 1kg,30
01-01-2024,Pimpri Store,DMart,Cold-Pressed Virgin Olive Oil 500ml,29
01-01-2024,Pimpri Store,DMart,Cold-Pressed Virgin Olive Oil 1L,15
01-01-2024,Wakad Store,Reliance Smart,Heritage Grains Muesli 500g,50
01-01-2024,Wakad Store,Reliance Smart,Heritage Grains Muesli 1kg,50
01-01-2024,Wakad Store,Reliance Smart,ProGut Yogurt 100g,70
01-01-2024,Wakad Store,Reliance Smart,ProGut Yogurt 250g,70
01-01-2024,Wakad Store,Reliance Smart,Artisanal Bakery Toast 200g,70
01-01-2024,Wakad Store,Reliance Smart,Artisanal Bakery Toast 400g,70
01-01-2024,Wakad Store,Reliance Smart,NutriBlend Peanut Butter 250g,30
01-01-2024,Wakad Store,Reliance Smart,NutriBlend Peanut Butter 500g,30
01-01-2024,Wakad Store,Reliance Smart,NutriBlend Peanut Butter 1kg,30
01-01-2024,Wakad Store,Reliance Smart,Cold-Pressed Virgin Olive Oil 500ml,22
01-01-2024,Wakad Store,Reliance Smart,Cold-Pressed Virgin Olive Oil 1L,15
01-01-2024,Wakad Store,Big Bazaar,Heritage Grains Muesli 500g,50
01-01-2024,Wakad Store,Big Bazaar,Heritage Grains Muesli 1kg,50
01-01-2024,Wakad Store,Big Bazaar,ProGut Yogurt 100g,70
01-01-2024,Wakad Store,Big Bazaar,ProGut Yogurt 250g,70
01-01-2024,Wakad Store,Big Bazaar,Artisanal Bakery Toast 200g,70
01-01-2024,Wakad Store,Big Bazaar,Artisanal Bakery Toast 400g,70
01-01-2024,Wakad Store,Big Bazaar,NutriBlend Peanut Butter 250g,30
01-01-2024,Wakad Store,Big Bazaar,NutriBlend Peanut Butter 500g,30
01-01-2024,Wakad Store,Big Bazaar,NutriBlend Peanut Butter 1kg,30
01-01-2024,Wakad Store,Big Bazaar,Cold-Pressed Virgin Olive Oil 500ml,21
01-01-2024,Wakad Store,Big Bazaar,Cold-Pressed Virgin Olive Oil 1L,15
01-01-2024,Kharadi Store,Reliance Smart,Heritage Grains Muesli 500g,50
01-01-2024,Kharadi Store,Reliance Smart,Heritage Grains Muesli 1kg,50
01-01-2024,Kharadi Store,Reliance Smart,ProGut Yogurt 100g,70
01-01-2024,Kharadi Store,Reliance Smart,ProGut Yogurt 250g,70
01-01-2024,Kharadi Store,Reliance Smart,Artisanal Bakery Toast 200g,70
01-01-2024,Kharadi Store,Reliance Smart,Artisanal Bakery Toast 400g,70
01-01-2024,Kharadi Store,Reliance Smart,NutriBlend Peanut Butter 250g,32
01-01-2024,Kharadi Store,Reliance Smart,NutriBlend Peanut Butter 500g,30
01-01-2024,Kharadi Store,Reliance Smart,NutriBlend Peanut Butter 1kg,30
01-01-2024,Kharadi Store,Reliance Smart,Cold-Pressed Virgin Olive Oil 500ml,21
01-01-2024,Kharadi Store,Reliance Smart,Cold-Pressed Virgin Olive Oil 1L,15
01-01-2024,Kharadi Store,DMart,Heritage Grains Muesli 500g,50
01-01-2024,Kharadi Store,DMart,Heritage Grains Muesli 1kg,50
01-01-2024,Kharadi Store,DMart,ProGut Yogurt 100g,73
01-01-2024,Kharadi Store,DMart,ProGut Yogurt 250g,70
01-01-2024,Kharadi Store,DMart,Artisanal Bakery Toast 200g,70
01-01-2024,Kharadi Store,DMart,Artisanal Bakery Toast 400g,70
01-01-2024,Kharadi Store,DMart,NutriBlend Peanut Butter 250g,40
01-01-2024,Kharadi Store,DMart,NutriBlend Peanut Butter 500g,30
01-01-2024,Kharadi Store,DMart,NutriBlend Peanut Butter 1kg,30
01-01-2024,Kharadi Store,DMart,Cold-Pressed Virgin Olive Oil 500ml,26
01-01-2024,Kharadi Store,DMart,Cold-Pressed Virgin Olive Oil 1L,15
01-01-2024,Hadapsar Store,DMart,Heritage Grains Muesli 500g,50
01-01-2024,Hadapsar Store,DMart,Heritage Grains Muesli 1kg,50
01-01-2024,Hadapsar Store,DMart,ProGut Yogurt 100g,70
01-01-2024,Hadapsar Store,DMart,ProGut Yogurt 250g,70
01-01-2024,Hadapsar Store,DMart,Artisanal Bakery Toast 200g,70
01-01-2024,Hadapsar Store,DMart,Artisanal Bakery Toast 400g,70
01-01-2024,Hadapsar Store,DMart,NutriBlend Peanut Butter 250g,34
01-01-2024,Hadapsar Store,DMart,NutriBlend Peanut Butter 500g,30
01-01-2024,Hadapsar Store,DMart,NutriBlend Peanut Butter 1kg,30
01-01-2024,Hadapsar Store,DMart,Cold-Pressed Virgin Olive Oil 500ml,28
01-01-2024,Hadapsar Store,DMart,Cold-Pressed Virgin Olive Oil 1L,15
01-01-2024,Hadapsar Store,Reliance Smart,Heritage Grains Muesli 500g,50
01-01-2024,Hadapsar Store,Reliance Smart,Heritage Grains Muesli 1kg,50
01-01-2024,Hadapsar Store,Reliance Smart,ProGut Yogurt 100g,71
01-01-2024,Hadapsar Store,Reliance Smart,ProGut Yogurt 250g,70
01-01-2024,Hadapsar Store,Reliance Smart,Artisanal Bakery Toast 200g,70
01-01-2024,Hadapsar Store,Reliance Smart,Artisanal Bakery Toast 400g,70
01-01-2024,Hadapsar Store,Reliance Smart,NutriBlend Peanut Butter 250g,30
01-01-2024,Hadapsar Store,Reliance Smart,NutriBlend Peanut Butter 500g,30
01-01-2024,Hadapsar Store,Reliance Smart,NutriBlend Peanut Butter 1kg,30
01-01-2024,Hadapsar Store,Reliance Smart,Cold-Pressed Virgin Olive Oil 500ml,25
01-01-2024,Hadapsar Store,Reliance Smart,Cold-Pressed Virgin Olive Oil 1L,15
01-01-2024,Bhosari Store,Big Bazaar,Heritage Grains Muesli 500g,50
01-01-2024,Bhosari Store,Big Bazaar,Heritage Grains Muesli 1kg,50
01-01-2024,Bhosari Store,Big Bazaar,ProGut Yogurt 100g,70
01-01-2024,Bhosari Store,Big Bazaar,ProGut Yogurt 250g,70
01-01-2024,Bhosari Store,Big Bazaar,Artisanal Bakery Toast 200g,70
01-01-2024,Bhosari Store,Big Bazaar,Artisanal Bakery Toast 400g,70
01-01-2024,Bhosari Store,Big Bazaar,NutriBlend Peanut Butter 250g,30
01-01-2024,Bhosari Store,Big Bazaar,NutriBlend Peanut Butter 500g,30
01-01-2024,Bhosari Store,Big Bazaar,NutriBlend Peanut Butter 1kg,30
01-01-2024,Bhosari Store,Big Bazaar,Cold-Pressed Virgin Olive Oil 500ml,20
01-01-2024,Bhosari Store,Big Bazaar,Cold-Pressed Virgin Olive Oil 1L,15
01-01-2024,Nagpur Store - Central,DMart,Heritage Grains Muesli 500g,50
01-01-2024,Nagpur Store - Central,DMart,Heritage Grains Muesli 1kg,50
01-01-2024,Nagpur Store - Central,DMart,ProGut Yogurt 100g,0
01-01-2024,Nagpur Store - Central,DMart,ProGut Yogurt 250g,0
01-01-2024,Nagpur Store - Central,DMart,Artisanal Bakery Toast 200g,70
01-01-2024,Nagpur Store - Central,DMart,Artisanal Bakery Toast 400g,70
01-01-2024,Nagpur Store - Central,DMart,NutriBlend Peanut Butter 250g,30
01-01-2024,Nagpur Store - Central,DMart,NutriBlend Peanut Butter 500g,30
01-01-2024,Nagpur Store - Central,DMart,NutriBlend Peanut Butter 1kg,30
01-01-2024,Nagpur Store - Central,DMart,Cold-Pressed Virgin Olive Oil 500ml,21
01-01-2024,Nagpur Store - Central,DMart,Cold-Pressed Virgin Olive Oil 1L,15
01-01-2024,Nagpur Store - Central,Reliance Smart,Heritage Grains Muesli 500g,50
01-01-2024,Nagpur Store - Central,Reliance Smart,Heritage Grains Muesli 1kg,50
01-01-2024,Nagpur Store - Central,Reliance Smart,ProGut Yogurt 100g,0
01-01-2024,Nagpur Store - Central,Reliance Smart,ProGut Yogurt 250g,0
01-01-2024,Nagpur Store - Central,Reliance Smart,Artisanal Bakery Toast 200g,70
01-01-2024,Nagpur Store - Central,Reliance Smart,Artisanal Bakery Toast 400g,70
01-01-2024,Nagpur Store - Central,Reliance Smart,NutriBlend Peanut Butter 250g,30
01-01-2024,Nagpur Store - Central,Reliance Smart,NutriBlend Peanut Butter 500g,30
01-01-2024,Nagpur Store - Central,Reliance Smart,NutriBlend Peanut Butter 1kg,30
01-01-2024,Nagpur Store - Central,Reliance Smart,Cold-Pressed Virgin Olive Oil 500ml,19
01-01-2024,Nagpur Store - Central,Reliance Smart,Cold-Pressed Virgin Olive Oil 1L,15
01-01-2024,Nagpur Store - West,Reliance Smart,Heritage Grains Muesli 500g,50
01-01-2024,Nagpur Store - West,Reliance Smart,Heritage Grains Muesli 1kg,50
01-01-2024,Nagpur Store - West,Reliance Smart,ProGut Yogurt 100g,0
01-01-2024,Nagpur Store - West,Reliance Smart,ProGut Yogurt 250g,0
01-01-2024,Nagpur Store - West,Reliance Smart,Artisanal Bakery Toast 200g,70
01-01-2024,Nagpur Store - West,Reliance Smart,Artisanal Bakery Toast 400g,70
01-01-2024,Nagpur Store - West,Reliance Smart,NutriBlend Peanut Butter 250g,30
01-01-2024,Nagpur Store - West,Reliance Smart,NutriBlend Peanut Butter 500g,30
01-01-2024,Nagpur Store - West,Reliance Smart,NutriBlend Peanut Butter 1kg,30
01-01-2024,Nagpur Store - West,Reliance Smart,Cold-Pressed Virgin Olive Oil 500ml,15
01-01-2024,Nagpur Store - West,Reliance Smart,Cold-Pressed Virgin Olive Oil 1L,15
01-01-2024,Nagpur Store - West,DMart,Heritage Grains Muesli 500g,50
01-01-2024,Nagpur Store - West,DMart,Heritage Grains Muesli 1kg,50
01-01-2024,Nagpur Store - West,DMart,ProGut Yogurt 100g,0
01-01-2024,Nagpur Store - West,DMart,ProGut Yogurt 250g,0
01-01-2024,Nagpur Store - West,DMart,Artisanal Bakery Toast 200g,70
01-01-2024,Nagpur Store - West,DMart,Artisanal Bakery Toast 400g,70
01-01-2024,Nagpur Store - West,DMart,NutriBlend Peanut Butter 250g,30
01-01-2024,Nagpur Store - West,DMart,NutriBlend Peanut Butter 500g,30
01-01-2024,Nagpur Store - West,DMart,NutriBlend Peanut Butter 1kg,30
01-01-2024,Nagpur Store - West,DMart,Cold-Pressed Virgin Olive Oil 500ml,17
01-01-2024,Nagpur Store - West,DMart,Cold-Pressed Virgin Olive Oil 1L,15
01-01-2024,Nagpur Store - East,Big Bazaar,Heritage Grains Muesli 500g,50
01-01-2024,Nagpur Store - East,Big Bazaar,Heritage Grains Muesli 1kg,50
01-01-2024,Nagpur Store - East,Big Bazaar,ProGut Yogurt 100g,0
01-01-2024,Nagpur Store - East,Big Bazaar,ProGut Yogurt 250g,0
01-01-2024,Nagpur Store - East,Big Bazaar,Artisanal Bakery Toast 200g,70
01-01-2024,Nagpur Store - East,Big Bazaar,Artisanal Bakery Toast 400g,70
01-01-2024,Nagpur Store - East,Big Bazaar,NutriBlend Peanut Butter 250g,30
01-01-2024,Nagpur Store - East,Big Bazaar,NutriBlend Peanut Butter 500g,30
01-01-2024,Nagpur Store - East,Big Bazaar,NutriBlend Peanut Butter 1kg,30
01-01-2024,Nagpur Store - East,Big Bazaar,Cold-Pressed Virgin Olive Oil 500ml,15
01-01-2024,Nagpur Store - East,Big Bazaar,Cold-Pressed Virgin Olive Oil 1L,15
01-01-2024,Nagpur Store - East,Reliance Smart,Heritage Grains Muesli 500g,50
01-01-2024,Nagpur Store - East,Reliance Smart,Heritage Grains Muesli 1kg,50
01-01-2024,Nagpur Store - East,Reliance Smart,ProGut Yogurt 100g,0
01-01-2024,Nagpur Store - East,Reliance Smart,ProGut Yogurt 250g,0
01-01-2024,Nagpur Store - East,Reliance Smart,Artisanal Bakery Toast 200g,70
01-01-2024,Nagpur Store - East,Reliance Smart,Artisanal Bakery Toast 400g,70
01-01-2024,Nagpur Store - East,Reliance Smart,NutriBlend Peanut Butter 250g,30
01-01-2024,Nagpur Store - East,Reliance Smart,NutriBlend Peanut Butter 500g,30
01-01-2024,Nagpur Store - East,Reliance Smart,NutriBlend Peanut Butter 1kg,30
01-01-2024,Nagpur Store - East,Reliance Smart,Cold-Pressed Virgin Olive Oil 500ml,16
01-01-2024,Nagpur Store - East,Reliance Smart,Cold-Pressed Virgin Olive Oil 1L,15
01-01-2024,Wardha Store,Big Bazaar,Heritage Grains Muesli 500g,50
01-01-2024,Wardha Store,Big Bazaar,Heritage Grains Muesli 1kg,50
01-01-2024,Wardha Store,Big Bazaar,ProGut Yogurt 100g,0
01-01-2024,Wardha Store,Big Bazaar,ProGut Yogurt 250g,0
01-01-2024,Wardha Store,Big Bazaar,Artisanal Bakery Toast 200g,70
01-01-2024,Wardha Store,Big Bazaar,Artisanal Bakery Toast 400g,70
01-01-2024,Wardha Store,Big Bazaar,NutriBlend Peanut Butter 250g,30
01-01-2024,Wardha Store,Big Bazaar,NutriBlend Peanut Butter 500g,30
01-01-2024,Wardha Store,Big Bazaar,NutriBlend Peanut Butter 1kg,30
01-01-2024,Wardha Store,Big Bazaar,Cold-Pressed Virgin Olive Oil 500ml,15
01-01-2024,Wardha Store,Big Bazaar,Cold-Pressed Virgin Olive Oil 1L,15
01-01-2024,Wardha Store,DMart,Heritage Grains Muesli 500g,50
01-01-2024,Wardha Store,DMart,Heritage Grains Muesli 1kg,50
01-01-2024,Wardha Store,DMart,ProGut Yogurt 100g,0
